TransactionID,TransactionDate,ProductName,ExpiryDate,Quantity,UnitPrice,TotalPrice,Channel,PaymentMethod,AppliedDiscounts,EffectiveDiscount,FinalPrice
ab5a546f-d947-4068-94be-b0e7d1ac39f5,2023-04-18,Wine - White Pinot Grigio,2023-06-10,6,122.46999999999998,734.8199999999999,Store,Visa,"Cheese/Wine Discount:5.0%;Bulk Purchase Discount:5.0%;Visa Card Promotion:5.0%",5.0,698.079
633a0121-b293-44da-bccb-c71ede631e18,2023-04-09,Pepper - Red Thai,2023-05-22,5,23.18,115.9,Store,Cash,"",0.0,115.9
c2f59e93-2e53-4ff0-9019-6597d012a653,2023-05-09,Wine - Chardonnay Mondavi,2023-08-04,7,189.74,1328.18,Store,Cash,"Cheese/Wine Discount:5.0%;Bulk Purchase Discount:5.0%",5.0,1261.771
57af65d1-07ac-41aa-bbb0-7668f66a6efa,2023-04-09,External Supplier,2023-05-23,14,9.92,138.88,App,Visa,"Bulk Purchase Discount:7.0%;App Usage Promotion:15.0%;Visa Card Promotion:5.0%",11.0,123.6032
1aed0fd7-898b-402e-895b-fc7e0f08e3d8,2023-03-27,Beans - Black Bean Preserved,2023-05-28,13,145.85,1896.05,Store,Cash,"Bulk Purchase Discount:7.0%",7.0,1763.3265
930ce434-e3b2-4dfb-936a-2ef7df68efa4,2023-04-27,Beef - Inside Round,2023-07-18,9,247.62,2228.58,Store,Visa,"Bulk Purchase Discount:5.0%;Visa Card Promotion:5.0%",5.0,2117.151
926ee264-2394-4963-b3c0-a577eaaa163f,2023-05-02,Bread - Calabrese Baguette,2023-05-28,1,111.21,111.21,Store,Visa,"Expiration Discount:4.0%;Visa Card Promotion:5.0%",4.5,106.20554999999999
afc5763f-3b63-4877-91a1-f5e23d59bd10,2023-03-17,Zucchini - Mini Green,2023-05-05,15,146.75,2201.25,Store,Visa,"Bulk Purchase Discount:10.0%;Visa Card Promotion:5.0%",7.5,2036.15625
a7a4d33b-b9f2-427b-829e-f90976b4fdba,2023-03-22,Eggs - Extra Large,2023-04-08,16,48.05,768.8,App,Visa,"Expiration Discount:13.0%;Bulk Purchase Discount:10.0%;App Usage Promotion:20.0%;Visa Card Promotion:5.0%",16.5,641.948
9fd0e640-ed77-4aea-84da-d94ff9083f59,2023-05-11,Pork - Liver,2023-07-20,17,191.13,3249.21,Store,Visa,"Bulk Purchase Discount:10.0%;Visa Card Promotion:5.0%",7.5,3005.5192500000003
2164aac5-7ae0-4b5c-b38f-7c2c4fe8635c,2023-04-04,Sesame Seed,2023-06-08,4,62.69,250.76,Store,Cash,"",0.0,250.76
6bd7f51a-cf1d-47ad-a642-d1c37263fec8,2023-04-14,Tuna - Yellowfin,2023-05-23,9,183.3,1649.7,Store,Cash,"Bulk Purchase Discount:5.0%",5.0,1567.215
ff8249ed-9e45-4185-997a-f7bb77424d52,2023-04-23,Wine - Magnotta - Belpaese,2023-05-12,9,101.36,912.24,Store,Cash,"Expiration Discount:11.0%;Cheese/Wine Discount:5.0%;Bulk Purchase Discount:5.0%",8.0,839.2608
394c1627-d812-4e73-a170-666653f8b973,2023-04-26,Bar Bran Honey Nut,2023-07-20,15,13.21,198.15,Store,Cash,"Bulk Purchase Discount:10.0%",10.0,178.335
b4db1f85-3540-4efb-b0f6-0235cfc6923a,2023-04-23,Cake - French Pear Tart,2023-07-11,12,215.63,2587.56,Store,Cash,"Bulk Purchase Discount:7.0%",7.0,2406.4307999999996
238a60bb-273e-43b8-87cb-87f334f71975,2023-04-24,Carbonated Water - Wildberry,2023-07-19,2,19.31,38.62,Store,Cash,"",0.0,38.62
abb937bf-8a49-4402-a2d4-383e9cef3681,2023-04-06,Pork - Ham Virginia,2023-06-18,14,208.26,2915.64,Store,Cash,"Bulk Purchase Discount:7.0%",7.0,2711.5451999999996
57a3b096-bb78-42e8-ac13-52653ac4ac5f,2023-04-30,Wine - Prosecco Valdobienne,2023-06-01,15,221.11,3316.65,Store,Visa,"Cheese/Wine Discount:5.0%;Bulk Purchase Discount:10.0%;Visa Card Promotion:5.0%",7.5,3067.9012500000003
0f3c117d-3135-4f23-bf67-1e83cdd72c52,2023-04-23,Lettuce - Boston Bib - Organic,2023-06-13,6,96.43,578.58,Store,Visa,"Bulk Purchase Discount:5.0%;Visa Card Promotion:5.0%",5.0,549.6510000000001
7100c7d5-47b5-4fc1-957d-e0592063f583,2023-04-05,Wine - Marlbourough Sauv Blanc,2023-04-10,4,233.83,935.32,App,Visa,"Expiration Discount:25.0%;Cheese/Wine Discount:5.0%;App Usage Promotion:5.0%;Visa Card Promotion:5.0%",15.0,795.022
5fcef69a-364c-4c49-ba06-533c50fb4c37,2023-04-13,Longos - Chicken Cordon Bleu,2023-05-28,16,193.04,3088.64,Store,Cash,"Bulk Purchase Discount:10.0%",10.0,2779.776
8e75c171-539c-4db1-8066-574ebf318170,2023-04-19,Beef Striploin Aaa,2023-06-06,9,81.77,735.93,Store,Cash,"Bulk Purchase Discount:5.0%",5.0,699.1334999999999
3af32f7b-816e-424d-8abd-c7782cef25b2,2023-04-29,Sauce - Oyster,2023-05-15,2,69.06,138.12,App,Visa,"Expiration Discount:14.0%;App Usage Promotion:5.0%;Visa Card Promotion:5.0%",9.5,124.99860000000001
459e13a4-eea1-473d-ba30-a34fc0b8d9eb,2023-04-03,Barley - Pearl,2023-05-29,3,94.98,284.94,App,Visa,"App Usage Promotion:5.0%;Visa Card Promotion:5.0%",5.0,270.693
10162d33-6e21-4d07-b042-63bd985812fc,2023-05-09,Cheese Cloth No 60,2023-06-20,16,49.41,790.56,App,Visa,"Cheese/Wine Discount:10.0%;Bulk Purchase Discount:10.0%;App Usage Promotion:20.0%;Visa Card Promotion:5.0%",15.0,671.9759999999999
713adeec-454f-4450-be6d-107c5290572e,2023-03-25,Cut Wakame - Hanawakaba,2023-06-17,16,190.34,3045.44,Store,Cash,"Bulk Purchase Discount:10.0%",10.0,2740.896
